pot	cod	time	w.SPM	gw.SPM	ET.diaria
pot_1	6	0	750	184.0	35
pot_1	6	1	715	175.0	37
pot_1	6	2	678	180.6	30
pot_1	6	3	648	69.1	30
pot_1	6	4	618	49.4	25
pot_1	6	5	593	43.9	18
pot_1	6	6	575	42.2	7
pot_1	6	7	568	22.0	7
pot_1	6	8	561	6.2	4
pot_1	6	9	557	0.5	2
pot_1	6	10	555	NA	NA
pot_2	7	0	750	171.0	33
pot_2	7	1	717	165.0	32
pot_2	7	2	685	87.6	30
pot_2	7	3	655	89.2	31
pot_2	7	4	624	62.5	26
pot_2	7	5	598	45.7	20
pot_2	7	6	578	27.7	8
pot_2	7	7	570	16.0	8
pot_2	7	8	562	6.0	4
pot_2	7	9	558	0.7	0
pot_2	7	10	558	NA	NA
pot_3	8	0	750	178.3	38
pot_3	8	1	712	166.4	39
pot_3	8	2	673	143.4	32
pot_3	8	3	641	56.0	32
pot_3	8	4	609	41.8	25
pot_3	8	5	584	30.5	14
pot_3	8	6	570	16.5	6
pot_3	8	7	564	6.0	4
pot_3	8	8	560	3.4	2
pot_3	8	9	558	2.1	1
pot_3	8	10	557	NA	NA
pot_4	9	0	750	167.3	33
pot_4	9	1	717	155.0	33
pot_4	9	2	684	138.7	31
pot_4	9	3	653	36.4	29
pot_4	9	4	624	67.4	26
pot_4	9	5	598	73.2	18
pot_4	9	6	580	32.7	8
pot_4	9	7	572	6.0	9
pot_4	9	8	563	4.8	5
pot_4	9	9	558	1.5	2
pot_4	9	10	556	NA	NA
pot_5	10	0	750	170.0	36
pot_5	10	1	714	162.2	39
pot_5	10	2	675	136.9	32
pot_5	10	3	643	87.8	32
pot_5	10	4	611	58.3	25
pot_5	10	5	586	52.7	18
pot_5	10	6	568	31.7	8
pot_5	10	7	560	11.0	6
pot_5	10	8	554	4.2	4
pot_5	10	9	550	1.2	1
pot_5	10	10	549	NA	NA
