datos.essay.1.	pot	lineas	k.eq.07	B.eq.07	ks	Bs
E12	1	DM68	0.193830511	194.465147	0.176554816	202.7008547
E12	2	pl.1	0.125136306	258.8511283	0.204796975	203.8588235
E12	3	pl.10	0.200642188	257.0720073	0.193370582	264.5765472
E12	4	pl.100	0.104811595	317.9635787	0.085972495	372.0019841
E12	5	pl.101	0.238099625	215.0217282	0.236773008	214.8795749
E12	6	pl.102	0.25909684	244.8665961	0.238238679	254.313151
E12	7	pl.103	0.123250739	234.1251075	0.121039344	241.0211268
E12	8	pl.104	0.234179308	214.7160247	0.226171296	215.8464052
E12	9	pl.105	0.113134909	318.9494742	0.124442876	307.3068783
E12	10	pl.106	0.123533302	266.4334456	0.122736063	267.4301242
E12	12	pl.108	0.153523785	265.6773865	0.139131944	284.0881643
E12	13	pl.109	0.22339666	249.7839509	0.162310493	291.587406
E12	14	pl.11	0.192860406	254.3143786	0.20756091	249.0883281
E12	15	pl.110	0.200766251	236.0096278	0.172792235	253.0009921
E12	16	pl.111	0.164688895	234.8379843	0.158325066	241.9201878
E12	17	pl.112	0.147915889	285.8310748	0.07623097	445.1707317
E12	18	pl.113	0.264984111	206.0944407	0.261992139	207.515
E12	19	pl.114	0.294866261	235.0479399	0.272316607	240.7553066
E12	20	pl.115	0.086540403	334.6197729	0.077306336	367.5024038
E12	21	pl.116	0.246845355	234.1396353	0.234472461	240.3265449
E12	23	pl.118	0.154507052	228.7830918	0.154420704	228.4033505
E12	24	pl.119	0.204082659	249.010809	0.206222816	248.7906051
E12	25	pl.12	0.258932506	218.2996241	0.265169176	217.5813172
E12	26	pl.120	0.11824213	278.0415239	0.106502409	301.2482759
E12	28	pl.122	0.199916179	240.4112789	0.187015735	248.7101449
E12	30	pl.125	0.235956963	243.5878082	0.225716928	248.9090909
E12	31	pl.126	0.1224105	272.4697985	0.100766037	313.5072464
E12	32	pl.127	0.157254281	236.0440783	0.141035171	256.8704188
E12	33	pl.128	0.212965048	257.4838565	0.206969944	264.1977612
E12	34	pl.130	0.094344267	290.0827071	0.093673362	294.4
E12	35	pl.131	0.135595786	271.1357344	0.155367151	254.4048165
E12	36	pl.132	0.192559377	263.903764	0.21609078	255.3223684
E12	37	pl.133	0.131076159	291.5494432	0.128399918	303.8245561
E12	38	pl.134	0.224150131	250.960904	0.233652328	249.4809783
E12	39	pl.135	0.240838147	217.9094952	0.230970225	219.3111285
E12	40	pl.136	0.223026257	245.5158116	0.247599676	236.6477273
E12	41	pl.137	0.192027936	225.7249023	0.207675681	220.6441281
E12	42	pl.138	0.138701985	274.9687988	0.141078577	278.2608696
E12	43	pl.139	0.24430547	235.3772433	0.225860647	243.7681159
E12	44	pl.14	0.074610314	395.8302894	0.06134854	469.8904494
E12	46	pl.141	0.2063597	223.9533153	0.209213475	224.0138889
E12	47	pl.142	0.180412135	267.6980692	0.178741557	272.1267606
E12	48	pl.143	0.234113315	247.1322852	0.230319568	250.4194215
E12	49	pl.144	0.19769105	204.7618053	0.190212744	207.8908898
E12	51	pl.146	0.239844681	231.0743116	0.241324578	232.1804775
E12	52	pl.147	0.065559002	391.9148413	0.050090094	492.9384615
E12	53	pl.148	0.141894629	253.8021395	0.108191627	303.8816667
E12	54	pl.149	0.27964817	219.0035836	0.247700734	227.0480501
E12	55	pl.15	0.194997897	208.2849904	0.185316607	213.4711538
E12	57	pl.151	0.166329275	250.7153105	0.14375489	270.9995551
E12	58	pl.152	0.198060459	258.0308037	0.169321722	278.8101352
E12	59	pl.153	0.08076526	373.8856462	0.074700531	408.4495413
E12	60	pl.154	0.150422495	262.6812248	0.150928309	265.3222477
E12	61	pl.155	0.163604651	272.0470599	0.169862513	273.4575569
E12	62	pl.156	0.191777874	256.7328703	0.176049254	270.0326087
E12	63	pl.157	0.211006001	207.7695789	0.204190284	211.8645833
E12	64	pl.158	0.14215722	261.1357758	0.125305205	284.7471751
E12	65	pl.159	0.123990214	240.7395885	0.123595539	244.8389262
E12	66	pl.160	0.145412732	239.8228077	0.142013198	245.7696783
E12	67	pl.161	0.281393006	235.2229301	0.278676086	239.0194582
E12	68	pl.162	0.235011036	235.8035687	0.228856139	240.5556358
E12	69	pl.163	0.124686986	293.0120117	0.12522059	296.3165761
E12	70	pl.164	0.16730934	248.8011832	0.183450797	241.3831418
