essay	pot	genotype	a	b	rsq	rsq.adj
E12	1	DM68	-735.853	1.307	0.815	0.722
E12	2	pl.1	-405.912	0.836	0.475	0.212
E12	3	pl.10	-509.539	1	0.784	0.676
E12	4	pl.100	-356.452	0.783	0.483	0.225
E12	5	pl.101	-262.191	0.677	0.81	0.716
E12	6	pl.102	-522.806	1.04	0.869	0.804
E12	7	pl.103	-518.374	0.958	0.919	0.879
E12	8	pl.104	-386.911	0.78	0.826	0.739
E12	9	pl.105	-545.569	1.07	0.647	0.471
E12	10	pl.106	-639.77	1.168	0.806	0.709
E12	11	pl.107	100.588	0.139	0.432	0.148
E12	12	pl.108	-550.456	1.102	0.557	0.336
E12	13	pl.109	-487.591	1.003	0.758	0.636
E12	14	pl.11	-537.153	1.054	0.803	0.705
E12	15	pl.110	-650.008	1.227	0.826	0.739
E12	16	pl.111	-432.811	0.86	0.796	0.695
E12	17	pl.112	-499.416	1.033	0.855	0.782
E12	18	pl.113	-569.039	1.059	0.925	0.887
E12	19	pl.114	-233.518	0.56	0.265	-0.102
E12	20	pl.115	-683.091	1.321	0.662	0.493
E12	21	pl.116	-478.906	0.909	0.886	0.828
E12	22	pl.117	390.558	-0.337	0.177	-0.235
E12	23	pl.118	-397.991	0.847	0.784	0.676
E12	24	pl.119	-588.433	1.166	0.635	0.453
E12	25	pl.12	-354.323	0.747	0.703	0.554
E12	26	pl.120	-254.343	0.603	0.27	-0.096
E12	27	pl.121	-481.883	0.89	0.918	0.877
E12	28	pl.122	-419.911	0.878	0.535	0.302
E12	29	pl.124	-1181.694	1.896	0.122	-0.317
E12	30	pl.125	-770.199	1.444	0.908	0.862
E12	31	pl.126	-570.492	1.104	0.547	0.32
E12	32	pl.127	-515.482	1.003	0.737	0.605
E12	33	pl.128	-525.286	1.057	0.668	0.502
E12	34	pl.130	-428.828	0.888	0.877	0.815
E12	35	pl.131	-588.546	1.138	0.755	0.633
E12	36	pl.132	-581.884	1.151	0.685	0.528
E12	37	pl.133	-589.842	1.082	0.776	0.664
E12	38	pl.134	-545.457	1.05	0.933	0.9
E12	39	pl.135	-460.599	0.914	0.842	0.762
E12	40	pl.136	-659.844	1.281	0.648	0.472
E12	41	pl.137	-373.982	0.812	0.717	0.575
E12	42	pl.138	-387.139	0.825	0.603	0.404
E12	43	pl.139	-235.917	0.576	0.334	0.001
E12	44	pl.14	-633.48	1.19	0.975	0.963
E12	45	pl.140	-659.571	1.203	0.745	0.618
E12	46	pl.141	-351.394	0.753	0.538	0.307
E12	47	pl.142	-534.851	1.086	0.597	0.395
E12	48	pl.143	-562.797	1.106	0.8	0.7
E12	49	pl.144	-108.125	0.424	0.476	0.214
E12	50	pl.145	-1697.485	2.479	0.668	0.502
E12	51	pl.146	-447.13	0.884	0.773	0.659
E12	52	pl.147	-367.281	0.789	0.643	0.465
E12	53	pl.148	-679.35	1.268	0.772	0.658
E12	54	pl.149	-409.404	0.829	0.811	0.716
E12	55	pl.15	-781.253	1.345	0.718	0.578
E12	56	pl.150	-650.293	1.19	0.638	0.457
E12	57	pl.151	-451.081	0.96	0.676	0.515
