essay	genotype	pot	k.eq.xy	B.eq.xy	ARS	AR
E12	DM68	1	0.191664738	194.41802	574.8717028	71.62170283
E12	pl.1	2	0.137619979	253.1291194	529.6143227	26.36432271
E12	pl.10	3	0.202230624	257.223411	508.2526656	5.002665563
E12	pl.101	5	0.237541046	214.9159807	552.8615477	49.61154769
E12	pl.102	6	0.258785329	244.7796471	517.8236268	14.57362682
E12	pl.103	7	0.127226679	232.0744583	530.2164829	26.96648286
E12	pl.104	8	0.232128482	214.3707719	563.8315663	60.58156634
E12	pl.106	10	0.123378891	266.5318373	525.9130621	22.66306207
E12	pl.109	13	0.219223449	249.1448755	522.5064703	19.25647035
E12	pl.11	14	0.19634686	254.542871	507.0255878	3.775587759
E12	pl.110	15	0.19793536	235.8482092	525.5114411	22.26144106
E12	pl.111	16	0.165942958	234.6802728	519.2929312	16.04293122
E12	pl.113	18	0.26523515	206.1566904	569.4437306	66.19373057
E12	pl.114	19	0.293416128	234.5756691	533.5074199	30.2574199
E12	pl.116	21	0.2470289	234.1835162	524.6481824	21.39818238
E12	pl.118	23	0.154063755	228.8793805	536.7161153	33.46611535
E12	pl.119	24	0.204935848	249.0962066	514.529872	11.27987196
E12	pl.12	25	0.260070596	218.5905853	529.3927839	26.14278388
E12	pl.122	28	0.199397863	240.3753478	528.4081979	25.15819792
E12	pl.125	30	0.235884588	243.5723268	512.6448184	9.394818418
E12	pl.127	32	0.160705294	235.4852139	530.0747824	26.82478245
E12	pl.128	33	0.21484048	257.7755769	512.8585107	9.608510715
E12	pl.131	35	0.140574528	269.0656581	507.6727418	4.422741817
E12	pl.134	38	0.226622019	251.4505316	511.2121772	7.962177203
E12	pl.135	39	0.238487697	217.4697107	548.0967016	44.84670164
E12	pl.136	40	0.225443061	245.9652077	518.8881182	15.63811817
E12	pl.137	41	0.195644252	225.9236293	505.7689359	2.518935934
E12	pl.139	43	0.243724862	235.2448011	512.9983914	9.748391403
E12	pl.141	46	0.207717167	224.0935235	521.2002962	17.95029621
E12	pl.143	48	0.234955951	247.3158352	509.0748339	5.824833863
E12	pl.144	49	0.196546012	204.7108263	573.3874907	70.13749071
E12	pl.146	51	0.241086945	231.3513345	519.6939602	16.44396019
E12	pl.148	53	0.141295304	254.0195054	521.5067384	18.25673842
E12	pl.149	54	0.276789184	218.2325959	540.8283283	37.57832825
E12	pl.15	55	0.194296257	208.2588442	566.2408787	62.99087873
E12	pl.151	57	0.163784972	251.1021206	518.5400722	15.29007221
E12	pl.152	58	0.195867601	257.9121679	534.0956533	30.8456533
E12	pl.156	62	0.192182725	256.7488722	513.9303613	10.68036126
E12	pl.157	63	0.211392503	207.8112358	561.3326719	58.0826719
E12	pl.159	65	0.127490653	238.8978213	525.519386	22.26938597
E12	pl.160	66	0.147526231	239.2153514	534.1915345	30.94153454
E12	pl.161	67	0.283006497	235.7544056	527.7614856	24.51148555
E12	pl.162	68	0.236120321	236.0403838	531.7032201	28.45322011
E12	pl.164	70	0.171924109	248.3967857	528.2621009	25.0121009
E12	pl.165	71	0.213205242	252.0568788	511.4057806	8.15578063
E12	pl.167	73	0.170001326	236.5887992	541.4925538	38.24255378
E12	pl.169	75	0.132525912	273.9493612	506.8430695	3.593069534
E12	pl.17	76	0.26010786	246.0735991	529.9002441	26.6502441
E12	pl.175	82	0.186318785	255.0525452	514.1321012	10.88210121
E12	pl.178	85	0.179746764	226.7506675	552.7156429	49.46564292
E12	pl.18	87	0.159212183	211.177935	554.5939488	51.34394881
E12	pl.180	88	0.165674121	210.4310047	554.3434739	51.09347389
E12	pl.181	89	0.221025237	236.0654582	533.204784	29.95478401
E12	pl.182	90	0.290909721	234.1458426	522.7498875	19.49988755
E12	pl.185	93	0.208499113	220.2250355	536.6160102	33.36601022
E12	pl.2	95	0.281411012	186.5995413	582.0271374	78.77713742
E12	pl.20	96	0.182544528	265.5713185	516.7857833	13.53578329
E12	pl.22	98	0.13875663	260.0834626	510.482204	7.232203951
E12	pl.25	101	0.307062108	235.9637488	519.3668509	16.11685087
E12	pl.26	102	0.186840511	185.3785133	569.7595173	66.50951735
E12	pl.27	103	0.082132196	246.322731	543.0575409	39.80754094
E12	pl.28	104	0.240044483	250.7840641	522.259654	19.00965398
E12	pl.29	105	0.249704155	221.6524481	549.9748642	46.72486421
E12	pl.3	106	0.221266709	225.4595761	541.7688489	38.51884885
E12	pl.30	107	0.216765163	193.9332017	582.7866931	79.53669313
E12	pl.34	111	0.135924683	262.7638534	511.2781246	8.028124604
E12	pl.35	112	0.121875234	206.4618934	557.3062657	54.05626565
E12	pl.38	115	0.143558809	265.2462654	506.2199606	2.969960552
E12	pl.39	116	0.120962197	236.256328	546.0260804	42.77608044
E12	pl.4	117	0.23040466	233.0513247	534.4113888	31.16138881
E12	pl.43	119	0.284005519	200.8019119	542.3005818	39.05058184
E12	pl.44	120	0.214435011	253.1057669	508.3191367	5.069136728
E12	pl.45	121	0.232074744	241.5120753	507.0026902	3.75269024
E12	pl.47	123	0.174135035	255.4725516	518.1334671	14.88346714
E12	pl.48	124	0.151819362	246.0830088	522.3472052	19.09720521
E12	pl.49	125	0.227480363	245.1158483	517.1537117	13.90371172
E12	pl.5	126	0.195876168	215.490764	561.0642228	57.81422277
E12	pl.50	127	0.225573684	200.1133641	574.7726623	71.52266232
E12	pl.53	130	0.225330269	255.5745557	506.3633165	3.113316545
E12	pl.57	134	0.247900282	240.7875256	539.5302936	36.28029357
E12	pl.58	135	0.235525381	252.7079539	514.5268177	11.27681769
E12	pl.59	136	0.181125576	245.3558105	537.1991119	33.94911187
E12	pl.6	137	0.249075183	243.7396449	529.1954366	25.94543662
E12	pl.60	138	0.185511976	253.9616684	506.864764	3.614763963
E12	pl.63	141	0.232162998	232.4223228	539.3153175	36.06531745
E12	pl.65	143	0.191161862	237.6984573	513.8659637	10.61596373
E12	pl.66	144	0.208801615	239.0411734	547.144597	43.894597
E12	pl.70	149	0.136753178	276.961162	507.9570306	4.707030631
E12	pl.71	150	0.195827741	258.7906414	509.0012267	5.751226685
E12	pl.72	151	0.171396621	232.5080737	539.4351817	36.18518167
E12	pl.75	154	0.199263433	247.7995516	520.8638058	17.61380577
E12	pl.76	155	0.187643143	253.729954	518.9488095	15.6988095
E12	pl.79	157	0.201583265	244.6324207	526.7142711	23.46427112
E12	pl.8	158	0.196669945	244.9922448	530.2103198	26.96031982
E12	pl.81	160	0.237844925	236.8502645	516.9190667	13.66906665
E12	pl.82	161	0.172446893	217.7225601	564.8454769	61.59547693
E12	pl.89	167	0.17198649	241.4965961	521.0823417	17.83234172
E12	pl.9	168	0.240672638	240.473537	533.2224713	29.97247126
E12	pl.91	170	0.174302291	236.2441172	526.8956218	23.64562177
E12	pl.92	171	0.263904035	235.4532139	525.0784259	21.8284259
E12	pl.99	178	0.213408723	253.2992073	522.6228088	19.37280877
E12	SO76557	179	0.189564178	244.7783616	517.3692355	14.1192355
