essay	genotype	pot	k.eq.07	B.eq.07	ks	Bs	tm
EC	100_14	1	0.134	997.739	0.193806506	820.617402	5.172740153
EC	100_30	2	0.114	910.691	0.161435521	741.2687478	6.080238426
EC	101_2	3	0.061	1217.879	0.098063177	852.6032773	11.36306853
EC	101_21	4	0.252	794.107	0.257589408	792.4504824	2.75058405
EC	101_24	5	0.251	740.277	0.257814828	736.1052802	2.761542552
EC	101_3	6	0.11	908.416	0.135417152	800.9468265	6.301338005
EC	101_30	7	0.279	736.352	0.290101482	729.1164815	2.484398497
EC	101_31	8	0.135	698.193	0.161099088	637.1118895	5.13442356
EC	101_39	9	0.051	1036.999	0.109593711	587.4628378	13.59112119
EC	102_18	10	0.373	606.693	0.411569028	590.4626769	1.858303433
EC	102_20	11	0.22	876.966	0.265471686	817.2478664	3.150669003
EC	102_21	12	0.191	794.433	0.205878601	771.0406488	3.62904283
EC	102_25	13	0.213	597.547	0.230107557	579.4729943	3.254212115
EC	102_4	14	0.212	899.518	0.232389149	870.0913131	3.269562172
EC	104_16	15	0.266	771.656	0.305870657	736.2483505	2.605816468
EC	104_18	16	0.121	942.664	0.153771552	820.9329897	5.728489096
EC	104_19	17	0.27	781.814	0.30738664	748.5304206	2.56721178
EC	108_TEMP_16	18	0.255	859.172	0.263220324	853.4291162	2.718224237
EC	111_13	19	0.157	794.545	0.16283705	788.9592215	4.414950195
EC	114_13	20	0.25	710.411	0.275201148	684.2127771	2.772588722
EC	114_15	21	0.231	871.029	0.281163356	806.5951955	3.000637145
EC	114_9	22	0.228	722.485	0.236576192	715.3020965	3.040119213
EC	116_TEMP_15	23	0.116	989.473	0.166269969	804.1733219	5.975406729
EC	116_TEMP_28	24	0.286	723.498	0.291303653	721.7110185	2.42359154
EC	116_TEMP_6	25	0.254	702.016	0.250250779	709.3262026	2.728925908
EC	117_18	26	0.147	798.904	0.224229634	642.3072979	4.715286943
EC	117_2	27	0.227	832.028	0.264616194	785.0412963	3.053511809
EC	117_23	28	0.16	833.67	0.177574298	795.7518147	4.332169878
EC	117_6	29	0.152	699.887	0.177027222	647.6645711	4.560178819
EC	117_9	30	0.135	850.106	0.216053108	660.815163	5.13442356
EC	118_1	31	0.335	641.61	0.349797298	634.1468318	2.069096061
EC	118_19	32	0.134	786.756	0.131169442	802.5428131	5.172740153
EC	118_23	33	0.14	837.998	0.194975899	708.4137203	4.95105129
EC	118_26	34	0.055	1067.072	0.079400938	810.3375	12.60267601
EC	118_6	35	0.269	634.219	0.273467227	632.4655312	2.576755318
EC	124_1	36	0.267	729.526	0.28460951	715.9848125	2.596056856
EC	124_15	37	0.21	891.349	0.219998558	881.1147558	3.30070086
EC	124_19	38	0.099	879.75	0.152914227	672.3684828	7.001486672
EC	124_26	39	0.152	798.714	0.192320881	708.6636988	4.560178819
EC	124_31	40	0.229	646.12	0.244810268	631.5762262	3.026843583
EC	124_39	41	0.267	703.644	0.273044112	699.2192439	2.596056856
EC	1248_5	42	0.307	598.705	0.314698766	594.467788	2.257808406
