essay	genotype	pot	a	b	rsq	rsq.adj
EC	100_14	1	-783.977	0.347	0.943	0.914
EC	100_30	2	-475.683	0.226	0.286	-0.071
EC	101_2	3	-1052.232	0.442	0.558	0.337
EC	101_21	4	-1669.338	0.672	0.989	0.983
EC	101_24	5	-1387.724	0.577	0.966	0.949
EC	101_3	6	-548.274	0.268	0.369	0.054
EC	101_30	7	-926.337	0.38	0.992	0.989
EC	101_31	8	-596.454	0.271	0.301	-0.049
EC	101_39	9	-620.635	0.249	0.863	0.794
EC	102_18	10	-2216.679	0.844	0.984	0.977
EC	102_20	11	-1178.717	0.52	0.921	0.882
EC	102_21	12	-1177.509	0.487	0.884	0.827
EC	102_25	13	-746.835	0.303	0.778	0.666
EC	102_4	14	-1445.454	0.593	0.972	0.958
EC	104_16	15	-787.584	0.327	0.936	0.903
EC	104_18	16	-1384.437	0.548	0.981	0.971
EC	104_19	17	-1342.14	0.536	0.965	0.947
EC	108_TEMP_16	18	-501.583	0.219	0.937	0.905
EC	111_13	19	-443.65	0.208	0.322	-0.017
EC	114_13	20	-1213.347	0.495	0.976	0.964
EC	114_15	21	-664.68	0.285	0.999	0.998
EC	114_9	22	-1220.677	0.484	1	1
EC	116_TEMP_15	23	-924.987	0.401	0.796	0.694
EC	116_TEMP_28	24	-1147.919	0.463	0.982	0.973
EC	116_TEMP_6	25	-1580.429	0.623	0.99	0.985
EC	117_18	26	-960.616	0.387	0.982	0.973
EC	117_2	27	-961.991	0.402	0.996	0.994
EC	117_23	28	-411.215	0.226	0.255	-0.118
EC	117_6	29	-551.105	0.231	0.558	0.338
EC	117_9	30	269.211	-0.059	0.178	-0.234
EC	118_1	31	-1247.518	0.484	0.99	0.985
EC	118_19	32	-1087.812	0.448	0.784	0.676
EC	118_23	33	-474.017	0.274	0.135	-0.298
EC	118_26	34	-934.614	0.364	0.929	0.893
EC	118_6	35	-2525.766	0.961	0.982	0.973
EC	124_1	36	-1037.206	0.428	0.977	0.965
EC	124_15	37	-1632.332	0.681	0.849	0.773
EC	124_19	38	-868.742	0.378	0.322	-0.017
EC	124_26	39	-1314.523	0.525	0.956	0.934
EC	124_31	40	-1449.508	0.567	0.987	0.98
EC	124_39	41	-1949.261	0.777	0.942	0.913
EC	1248_5	42	-1032.149	0.414	0.818	0.728
EC	127_9	43	-365.86	0.195	0.193	-0.211
EC	130_6	44	-1466.944	0.564	0.984	0.976
EC	133_TARD_1	45	-594.341	0.255	0.922	0.882
EC	133_TARD_2	46	-769.026	0.313	0.965	0.948
EC	133_TARD_21	47	-778.441	0.346	0.754	0.631
EC	133_TARD_31	48	-928.405	0.401	0.988	0.982
EC	133_TARD_32	49	-720.668	0.341	0.248	-0.128
EC	133_TARD_38	50	-1354.248	0.536	0.637	0.455
EC	136_TARD_13	51	-954.484	0.396	0.923	0.884
EC	136_TARD_4	52	-876.991	0.376	0.982	0.974
EC	139_30	53	-649.771	0.301	0.43	0.145
EC	139_40	54	-892.668	0.365	0.993	0.989
EC	5958_RSF_ipro	55	-1293.285	0.501	0.961	0.942
EC	813_29	56	-1190.438	0.49	0.86	0.789
EC	85_13	57	-591.842	0.257	0.64	0.46
EC	85_2_8_19	58	-1187.336	0.474	0.999	0.998
EC	85_2_8_20	59	-1711.727	0.645	0.91	0.865
EC	85_2_8_6	60	-920.822	0.395	0.807	0.71
EC	85_24	61	-1551.401	0.631	0.981	0.971
EC	97_TARD_3	62	-1532.665	0.606	0.968	0.952
EC	98_99_TARD_14	63	-1046.531	0.443	0.964	0.946
EC	98_99_TARD_19	64	-1366.261	0.524	0.555	0.332
EC	LEO_1823_07	65	-959.546	0.405	0.911	0.867
EC	NA_4990_RG	66	-1567.776	0.606	0.958	0.937
EC	NA_5909_RG	67	-785.313	0.312	0.958	0.937
EC	NA_6126_RG	68	-1467.955	0.595	0.985	0.978
EC	NS_6267	69	-733.798	0.315	0.922	0.883
EC	SRM_5200	70	-1235.709	0.475	0.969	0.954
EC	SRM_6900	71	-547.897	0.237	0.62	0.431
EC	testigo1	72	-1386.99	0.549	0.996	0.994
EC	testigo2	73	-1199.958	0.467	0.997	0.995
EC	testigo3	74	-1527.27	0.592	0.985	0.978
EC	testigo4	75	-1290.479	0.509	0.995	0.992
EC	testigo5	76	-1449.128	0.547	0.974	0.962
EC	YM10_34120	77	-930.701	0.379	0.972	0.958
EC	YM10_36005	78	-854.506	0.382	0.526	0.289
