essay	genotype	pot	k.eq.xy	B.eq.xy	ARS	AR
EC	100_14	1	0.132413366	997.7366066	2196.967094	11.96709448
EC	100_30	2	0.112067548	912.7178579	2283.251378	98.25137836
EC	101_21	4	0.251681019	793.547542	2405.785685	220.7856849
EC	101_24	5	0.25094954	739.801485	2459.630769	274.6307688
EC	101_3	6	0.108561236	909.879362	2287.690374	102.6903739
EC	101_30	7	0.278885309	735.7920929	2463.572982	278.5729816
EC	101_31	8	0.134098764	698.0837012	2499.910939	314.9109388
EC	102_18	10	0.373217296	606.1558388	2593.280039	408.2800394
EC	102_20	11	0.219295725	874.6752999	2322.232754	137.2327543
EC	102_21	12	0.190325681	793.6095263	2405.088309	220.0883093
EC	102_25	13	0.212066143	596.8530115	2602.194141	417.1941407
EC	102_4	14	0.211513465	898.2259419	2299.990642	114.9906419
EC	104_16	15	0.265289832	770.0834472	2428.074312	243.0743122
EC	104_18	16	0.119581337	943.4743515	2253.486047	68.48604704
EC	104_19	17	0.268950124	780.3078625	2417.940509	232.940509
EC	108_TEMP_16	18	0.254298114	858.4587331	2340.694862	155.6948619
EC	111_13	19	0.1559901	794.0842962	2404.673819	219.6738191
EC	114_13	20	0.249753147	709.5620188	2489.415941	304.4159412
EC	114_15	21	0.229558787	868.793068	2328.312664	143.3126643
EC	114_9	22	0.227474514	721.8896456	2477.348315	292.3483149
EC	116_TEMP_15	23	0.113793685	991.6230452	2203.586073	18.5860728
EC	116_TEMP_28	24	0.286306881	723.17727	2476.46307	291.4630701
EC	116_TEMP_6	25	0.253624452	701.9200291	2497.966285	312.9662851
EC	117_18	26	0.14438819	797.9846017	2397.034535	212.0345352
EC	117_2	27	0.225767801	830.1861756	2367.40558	182.4055796
EC	117_23	28	0.159666166	832.9999355	2365.345475	180.3454755
EC	117_6	29	0.150703961	699.3378748	2498.843682	313.8436815
EC	117_9	30	0.13249439	850.1964695	2344.191873	159.191873
EC	118_1	31	0.335217355	641.2490433	2558.365499	373.3654989
EC	118_19	32	0.133908397	786.750439	2413.167139	228.1671394
EC	118_23	33	0.138029018	837.5514905	2357.931959	172.9319591
EC	118_6	35	0.268886453	633.9430858	2565.74027	380.7402705
EC	124_1	36	0.266994968	728.7201344	2470.345608	285.3456075
EC	124_15	37	0.209204041	890.3840537	2308.274394	123.2743936
EC	124_19	38	0.096763546	884.6778367	2311.014493	126.0144933
EC	124_26	39	0.150787261	797.8411873	2399.166853	214.166853
EC	124_31	40	0.228919327	645.4216428	2553.686789	368.6867894
EC	124_39	41	0.266439697	703.2895338	2496.300699	311.3006988
EC	1248_5	42	0.306999526	598.4797785	2601.27426	416.2742603
EC	127_9	43	0.121627584	856.099315	2345.682856	160.6828559
EC	130_6	44	0.194805464	637.5035652	2561.748416	376.7484159
EC	133_TARD_1	45	0.120024471	935.9403638	2259.008426	74.00842561
EC	133_TARD_2	46	0.189884646	742.8232362	2455.885242	270.8852421
EC	133_TARD_32	49	0.113091496	816.5786309	2380.667343	195.6673428
EC	133_TARD_38	50	0.09276046	737.4903583	2460.184163	275.184163
EC	136_TARD_13	51	0.198942913	947.5008745	2250.730172	65.73017156
EC	136_TARD_4	52	0.270233344	835.5977876	2364.048991	179.0489908
EC	139_30	53	0.199548935	782.4992882	2416.272053	231.2720526
EC	139_40	54	0.251351455	766.772351	2431.361109	246.3611089
EC	5958_RSF_ipro	55	0.250711151	690.8436837	2508.564766	323.5647658
EC	813_29	56	0.176739254	785.3453522	2413.149003	228.149003
EC	85_13	57	0.112487208	940.360677	2257.516782	72.51678184
EC	85_2_8_19	58	0.28111696	706.3310371	2492.675054	307.6750539
EC	85_2_8_20	59	0.09650967	775.5296922	2418.833271	233.8332713
EC	85_2_8_6	60	0.222724303	727.5260719	2471.909742	286.9097421
EC	85_24	61	0.198603743	755.2131314	2442.775516	257.7755159
EC	97_TARD_3	62	0.152556659	727.8432559	2469.45394	284.4539398
EC	98_99_TARD_14	63	0.144724717	969.6473151	2227.50444	42.5044402
EC	98_99_TARD_19	64	0.244121661	480.3106719	2719.54453	534.5445297
EC	LEO_1823_07	65	0.211224645	945.3628146	2252.831898	67.83189788
EC	NA_4990_RG	66	0.25047292	699.4340375	2499.865907	314.8659072
EC	NA_5909_RG	67	0.262376618	663.2744268	2536.339962	351.3399622
EC	NA_6126_RG	68	0.167788915	873.6152326	2323.852235	138.8522353
EC	NS_6267	69	0.282260152	763.6567836	2435.608084	250.6080838
EC	SRM_5200	70	0.128032171	751.0959889	2446.222306	261.2223058
EC	SRM_6900	71	0.124187344	845.6565414	2350.469823	165.4698226
EC	testigo1	72	0.19310533	754.3783527	2443.194161	258.1941607
EC	testigo2	73	0.207881692	675.5318258	2523.628247	338.6282474
EC	testigo3	74	0.184511154	701.8751785	2496.205576	311.2055757
EC	testigo4	75	0.235230514	686.2040567	2511.141693	326.1416928
EC	testigo5	76	0.170556539	618.6842734	2578.081432	393.0814316
EC	YM10_34120	77	0.267858162	797.7636119	2401.682581	216.6825813
